,モジュール,歯数,形状,穴径1 A,穴径2 (A'), ボス径1 B,ボス径2 B',基準円直径 C,歯先円直径 D,歯幅 E,  ボス長さ F,  全長 G,  ウェブ厚 (H),  リム径 (I),  穴深さ (J),  許容曲げ強さ (kgf･m), バックラッシ 下限 (mm),  バックラッシ 上限 (mm),  質量 (g),  価格 (円)
DS0.5-12,0.5,12,S8,2,(4),4.5, ,6,7,3,4,7, , ,(0.6),0.0064,0,0.30,0.17,115
DS0.5-15,0.5,15,S8,2,(5.5),4.5, ,7.5,8.5,3,4,7, , ,(0.6),0.0094,0,0.30,0.23,120
DS0.5-16,0.5,16,S8,3,(6),6, ,8,9,3,4,7, , ,(0.6),0.010,0,0.30,0.28,130
DS0.5-18,0.5,18,S8,3,(7),6, ,9,10,3,4,7, , ,(0.6),0.012,0,0.30,0.33,130
DS0.5-20,0.5,20,S8B,4, ,8,5,10,11,3,4,7,(2.4),(8), ,0.014,0,0.30,0.47,140
DS0.5-24,0.5,24,S9,4, ,8,5,12,13,3,4,7,(1.8),(9.5), ,0.018,0,0.30,0.58,145
DS0.5-25,0.5,25,S9,4, ,8,6,12.5,13.5,3,4,7,(1.8),(10), ,0.019,0,0.30,0.61,150
DS0.5-28,0.5,28,S9,4, ,8,6,14,15,3,4,7,(1.8),(11.5), ,0.022,0,0.30,0.69,155
DS0.5-30,0.5,30,S9,5, ,10,7,15,16,3,4,7,(1.8),(12), ,0.023,0,0.30,0.90,165
DS0.5-32,0.5,32,S9,5, ,10,7,16,17,3,4,7,(1.8),(13), ,0.025,0,0.30,0.97,170
DS0.5-35,0.5,35,S9,5, ,10,7,17.5,18.5,3,4,7,(1.8),(14.5), ,0.029,0,0.30,1.09,175
DS0.5-36,0.5,36,S9,5, ,10,7,18,19,3,4,7,(1.8),(15), ,0.030,0,0.30,1.13,180
DS0.5-40,0.5,40,S9,5, ,12,8,20,21,3,4,7,(1.8),(16.5), ,0.034,0,0.30,1.53,185
DS0.5-45,0.5,45,S9,5, ,12,8,22.5,23.5,3,4,7,(1.8),(19), ,0.039,0,0.30,1.78,190
DS0.5-48,0.5,48,S9,5, ,12,8,24,25,3,4,7,(1.8),(21), ,0.043,0,0.30,1.91,195
DS0.5-50,0.5,50,S9,5, ,12,8,25,26,3,4,7,(1.8),(21.5), ,0.045,0,0.30,2.02,200
DS0.5-56,0.5,56,S9,6, ,14,10,28,29,3,5,8,(1.8),(24.5), ,0.051,0,0.30,2.77,210
DS0.5-60,0.5,60,S9,6, ,14,10,30,31,3,5,8,(1.8),(26.5), ,0.055,0,0.30,3.02,220
DS0.5-64,0.5,64,S9,6, ,14,10,32,33,3,5,8,(1.8),(28.5), ,0.059,0,0.30,3.29,225
DS0.5-70,0.5,70,S9,6, ,14,10,35,36,3,5,8,(1.8),(31.5), ,0.066,0,0.30,3.71,230
DS0.5-72,0.5,72,S9,6, ,14,10,36,37,3,5,8,(1.8),(32), ,0.068,0,0.30,3.86,235
DS0.5-80,0.5,80,S9,6, ,14,10,40,41,3,5,8,(1.8),(36.5), ,0.076,0,0.30,4.51,245
DS0.8-12,0.8,12,S9,3, ,6,4,9.6,11.2,4,5,9,(2),(6.7), ,0.022,0,0.48,0.48,140
DS0.8-15,0.8,15,S9,3, ,6,4.5,12,13.6,4,5,9,(2),(8.8), ,0.032,0,0.48,0.64,145
DS0.8-16,0.8,16,S9,4, ,8,6,12.8,14.4,4,5,9,(2),(9.2), ,0.035,0,0.48,0.84,155
DS0.8-18,0.8,18,S9,4, ,8,6,14.4,16,4,5,9,(2),(10.7), ,0.041,0,0.48,0.97,160
DS0.8-20,0.8,20,S9,5, ,10,8,16,17.6,4,5,9,(2),(12.7), ,0.048,0,0.48,1.26,165
DS0.8-24,0.8,24,S9,5, ,10,8,19.2,20.8,4,5,9,(2),(15), ,0.060,0,0.48,1.59,175
DS0.8-25,0.8,25,S9,5, ,10,8,20,21.6,4,5,9,(2),(16.5), ,0.064,0,0.48,1.73,180
DS0.8-28,0.8,28,S9,5, ,10,8,22.4,24,4,5,9,(2),(18.5), ,0.074,0,0.48,1.91,185
DS0.8-30,0.8,30,S9,6, ,12,10,24,25.6,4,5,9,(2),(19.5), ,0.080,0,0.48,2.37,195
DS0.8-32,0.8,32,S9,6, ,12,10,25.6,27.2,4,5,9,(2),(21), ,0.087,0,0.48,2.57,205
DS0.8-35,0.8,35,S9,6, ,12,10,28,29.6,4,5,9,(2),(23.5), ,0.098,0,0.48,2.91,210
DS0.8-36,0.8,36,S9,6, ,12,10,28.8,30.4,4,5,9,(2),(24.5), ,0.10,0,0.48,3.00,215
DS0.8-40,0.8,40,S9,6, ,12,10,32,33.6,4,5,9,(2),(27.5), ,0.12,0,0.48,3.47,225
DS0.8-45,0.8,45,S9,6, ,12,10,36,37.6,4,5,9,(2),(31), ,0.13,0,0.48,4.18,240
DS0.8-48,0.8,48,S9,6, ,14.5,11.7,38.4,40,4,6,10,(2),(33.5), ,0.15,0,0.48,5.31,250
DS0.8-50,0.8,50,S9,6, ,14.5,11.7,40,41.6,4,6,10,(2),(35), ,0.15,0,0.48,5.60,260
DS0.8-56,0.8,56,S9,6, ,14.5,11.7,44.8,46.4,4,6,10,(2),(39.5), ,0.17,0,0.48,6.55,270
DS0.8-60,0.8,60,S9,6, ,14.5,11.7,48,49.6,4,6,10,(2),(42.5), ,0.19,0,0.48,7.30,280
DS0.8-64,0.8,64,S9,6, ,15.5,11.7,51.2,52.8,4,6,10,(2),(46), ,0.20,0,0.48,8.64,300
DS0.8-70,0.8,70,S9,6, ,15.5,11.7,56,57.6,4,6,10,(2),(50.5), ,0.22,0,0.48,9.52,310
DS0.8-72,0.8,72,S9,6, ,15.5,11.7,57.6,59.2,4,6,10,(2),(51.5), ,0.23,0,0.48,9.85,320
DS0.8-80,0.8,80,S9,6, ,15.5,11.7,64,65.6,4,6,10,(2),(55.5), ,0.26,0,0.48,11.8,330
DS1-12,1,12,S9,4, ,8,6,12,14,6,6,12,(3),(8.5), ,0.045,0,0.60,1.10,155
DS1-15,1,15,S9,4, ,8,7,15,17,6,6,12,(3),(11), ,0.066,0,0.60,1.49,170
DS1-16,1,16,S9,5, ,10,8,16,18,6,6,12,(3),(11.5), ,0.073,0,0.60,1.87,190
DS1-18,1,18,S9,5, ,10,8,18,20,6,6,12,(3),(13.5), ,0.085,0,0.60,2.15,200
DS1-20,1,20,S9,5, ,11.7,9,20,22,6,6,12,(3),(15), ,0.098,0,0.60,2.85,210
DS1-24,1,24,S9,5, ,11.7,9,24,26,6,6,12,(3),(17), ,0.12,0,0.60,3.81,220
DS1-25,1,25,S9,5, ,11.7,9,25,27,6,6,12,(3),(20), ,0.13,0,0.60,3.76,240
DS1-28,1,28,S9,5, ,11.7,9,28,30,6,6,12,(3),(23), ,0.15,0,0.60,4.39,250
DS1-30,1,30,S9,6, ,14,12,30,32,6,6,12,(3),(24), ,0.16,0,0.60,5.46,285
DS1-32,1,32,S9,6, ,14,12,32,34,6,6,12,(3),(26.5), ,0.18,0,0.60,5.86,290
DS1-35,1,35,S9,6, ,14,12,35,37,6,6,12,(3),(29), ,0.20,0,0.60,6.73,300
DS1-36,1,36,S9,6, ,14,12,36,38,6,6,12,(3),(30), ,0.21,0,0.60,7.01,305
DS1-40,1,40,S9,8, ,16,14,40,42,6,6,12,(3),(34), ,0.24,0,0.60,8.39,315
DS1-45,1,45,S9,8, ,16,14,45,47,6,6,12,(3),(39.5), ,0.27,0,0.60,9.87,330
DS1-48,1,48,S9,8, ,16,14,48,50,6,8,14,(3),(40), ,0.30,0,0.60,12.0,360
DS1-50,1,50,S9,8, ,16,14,50,52,6,8,14,(3),(42.5), ,0.31,0,0.60,12.6,375
DS1-56,1,56,S9,8, ,18,15.6,56,58,6,8,14,(3),(48.5), ,0.36,0,0.60,15.8,380
DS1-60,1,60,S9,8, ,18,15.6,60,62,6,8,14,(3),(52.5), ,0.39,0,0.60,17.6,390
DS1-64,1,64,S9,8, ,18,15.6,64,66,6,8,14,(3),(56.5), ,0.41,0,0.60,19.4,400
DS1-70,1,70,S9,8, ,18,15.6,70,72,6,8,14,(3),(62.5), ,0.46,0,0.60,22.4,410
DS1-72,1,72,S9,8, ,18,15.6,72,74,6,8,14,(3),(64), ,0.47,0,0.60,23.7,430
DS1-80,1,80,S9,8, ,18,15.6,80,82,6,8,14,(3),(72.5), ,0.53,0,0.60,27.9,440

,モジュール, 歯数, 形状, 穴径1 A, 穴径2 A', ボス径 B, 基準円直径 C, 歯先円直径 D, 歯幅 E, ボス長さ F, 全長 G, ウェブ厚 H, リム径 I, 許容曲げ強さ (kgf･m), 許容歯面強さ (kgf･m), バックラッシ 下限 (mm), バックラッシ 上限 (mm), 質量 (g), 価格 （円）
LS0.5-12,0.5,12,S3,2,2.1,7.4,6,7,4,3,7, , ,0.011,0.0008,0.06,0.16,1.61,150
LS0.5-16,0.5,16,S3,2,2.1,9.4,8,9,4,3,7, , ,0.023,0.0015,0.06,0.16,2.84,170
LS0.5-20,0.5,20,S3,3,3.1,11.4,10,11,4,4,8, , ,0.032,0.0024,0.06,0.16,4.89,190
LS0.5-25,0.5,25,S1,3,3.1,8.5,12.5,13.5,3,4,7, , ,0.033,0.0028,0.10,0.20,4.01,220
LS0.5-30,0.5,30,S1,3,3.1,9,15,16,3,4,7, , ,0.043,0.004,0.10,0.20,5.40,240
LS0.5-40,0.5,40,S9,3,3.1,9,20,21,3,4,7,1.5,16.5,0.062,0.0073,0.10,0.20,6.77,300
LS0.5-50,0.5,50,S9,4,4.1,12,25,26,3,5,8,1.5,21.5,0.082,0.012,0.12,0.24,11.5,340
LS0.5-60,0.5,60,S9,4,4.1,12,30,31,3,5,8,1.5,26.5,0.10,0.017,0.12,0.24,14.2,390
LS0.5-70,0.5,70,S9,4,4.1,12,35,36,3,5,8,1.5,31.5,0.12,0.024,0.12,0.24,17.3,490
LS0.5-80,0.5,80,S9,4,4.1,12,40,41,3,5,8,1.5,36.5,0.14,0.032,0.12,0.24,20.8,810
